SPPARKS (19 Nov 2013 -- potts-ori branch)
seed 621398049
app_style	 potts/ori 1
dimension	 2
lattice		 sq/8n 1.0
read_dream3d	 filename initial.dream3d load_ori
create_sites boxCreating sites ...
  1048576 sites
  1048576 sites have 8 neighbors
  1048576 values

set_mobility	 binary theta_max 50 min_mobility 0.001
precompute    	 mobility

solve_style      tree
sector		 no

temperature	 0.9

stats            2000.0
diag_style	 grainsize filename stats.h5

dump txtfile text 500000 AGG_Sites.*.txt x y z 

dump		 1 dream3d 5000 agg_dump*.dream3d id site version 6.0 dataset SyntheticVolume
dump_modify	 1 pad 6

run              500000.0
Setting up run ...
      Time    Naccept    Nreject    Nsweeps        CPU    Ngrains
    460000   25828997          0          0   1.59e+03        984
    462000   25915716          0          0   1.59e+03        982
    464000   26001792          0          0   1.59e+03        982
    466000   26088382          0          0    1.6e+03        980
    468000   26175346          0          0    1.6e+03        979
    470000   26265846          0          0    1.6e+03        978
    472000   26354772          0          0    1.6e+03        977
    474000   26442526          0          0   1.61e+03        975
    476000   26529524          0          0   1.68e+03        973
    478000   26615165          0          0   1.69e+03        973
    480000   26702049          0          0   1.69e+03        970
    482000   26788197          0          0   1.69e+03        970
    484000   26873136          0          0    1.7e+03        968
    486000   26956408          0          0   1.71e+03        965
    488000   27040871          0          0   1.71e+03        961
    490000   27123949          0          0   1.71e+03        957
    492000   27206279          0          0   1.71e+03        956
    494000   27286289          0          0   1.71e+03        952
    496000   27366810          0          0   1.72e+03        949
    498000   27450046          0          0   1.72e+03        946
    500000   27534338          0          0   1.74e+03        944
Loop time of 1737.56 on 1 procs

Solve time (%) = 29.7768 (1.71372)
Update time (%) = 0 (0)
Comm  time (%) = 0 (0)
Outpt time (%) = 1487.23 (85.5934)
App   time (%) = 216.683 (12.4706)
Other time (%) = 3.86216 (0.222276)

